Post Type,Total Reach,Organic Reach,Total Impressions,Engaged Users,Interactions,Reactions,Comments,Shares,Link Clicks,Other Clicks,Photo Views,Video Plays,Negative Feedback,Video Length,Organic Views,Paid Views,Organic 10-Sec Views,Paid 10-Sec Views,Organic Views to 95%,Paid Views to 95%,Reach (Fans),Paid Reach (Fans),Engaged Users (Fans),Reach (Non-Fans),Engaged Users (Non-Fans),Channel,Organic / Paid
Link,400095,391755,811770,4180,1228,955,230,43,1760,2268,3,2,13,0,1,0,0,0,0,0,328414,0,3720,71681,460,Facebook,Organic
Photo,131748,132301,231641,24002,840,664,159,17,184,359,28815,NA,6,0,0,0,0,0,0,0,96159,0,18129,35589,5873,Facebook,Organic
Link,3744456,3844147,6582636,202600,9599,8546,916,137,171272,73267,17,NA,306,0,133,0,94,0,85,0,3589223,0,200579,155233,2021,Facebook,Organic
Video,5699001,5773887,10733909,594442,25233,19911,3685,1637,1210,473492,3378,438776,429,11328,1295465,1,1062238,1,998964,1,4460607,0,498884,1238394,95558,Facebook,Organic
Video,1411365,1435414,2216842,110164,4282,3619,467,196,82,43846,440,90578,27,12330,233267,0,188907,0,138509,0,977775,0,70749,433590,39415,Facebook,Organic
Video,1212954,1215197,2017845,91817,4561,3893,464,204,24,35831,723,77928,50,10453,220235,0,144646,0,143848,0,1001402,0,77746,211552,14071,Facebook,Organic
Link,215181,215146,546948,2175,822,712,97,13,356,1017,423,5,4,0,0,0,0,0,0,0,184739,0,2107,30442,68,Facebook,Organic
Photo,185136,185239,336342,38085,2311,2056,227,28,47,5541,47676,3,11,0,0,0,0,0,0,0,159394,0,30422,25742,7663,Facebook,Organic
Link,323697,327080,678626,2954,668,561,82,25,1001,1353,373,2,10,0,160,0,97,0,94,0,299043,0,2884,24654,70,Facebook,Organic
Video,1201539,1224569,1944001,79397,3440,2969,293,178,95,26857,506,67370,17,9216,184118,0,112335,0,112983,0,903495,0,56189,298044,23208,Facebook,Organic
Link,3115492,3115548,5078113,122126,6348,5642,632,74,100386,39385,137,2,268,0,29,0,18,0,14,0,3062990,0,121460,52502,666,Facebook,Organic
Video,2332406,2353260,4190267,225360,15078,11923,2322,833,108,149225,2086,173135,112,12160,487855,0,418456,0,334186,0,1757551,0,185739,574855,39621,Facebook,Organic
Video,4822624,4968630,8736140,456597,18675,15316,2466,893,740,400082,2775,320565,363,12565,1034391,0,769115,0,647555,0,4007614,0,387479,815010,69118,Facebook,Organic
Video,849404,850036,1515135,44061,1952,1703,166,83,14,9591,245,41131,7,9578,107954,0,61875,0,63099,0,696743,0,35187,152661,8874,Facebook,Organic
Video,1146036,1149503,2121130,95520,6665,5960,459,246,127,45243,883,75361,52,10282,224044,0,147332,0,150464,0,988245,0,84024,157791,11496,Facebook,Organic
Link,4704070,4757004,7947258,216098,20917,18665,1893,359,183465,72259,4,1,455,0,9,0,6,0,0,0,4459706,0,206458,244364,9640,Facebook,Organic
Link,452516,463774,788801,10173,1167,1022,124,21,4518,6384,NA,1,12,0,456,0,311,0,83,0,421090,0,10025,31426,148,Facebook,Organic
Video,1143459,1147152,1945010,36457,2339,1778,341,220,283,16180,405,28364,16,88362,105534,0,73475,0,18386,0,641185,0,27443,502274,9014,Facebook,Organic
Link,1979820,1970937,3217162,70575,8406,7897,459,50,75452,29948,NA,1,219,0,337,0,249,0,40,0,1878467,0,68475,101353,2100,Facebook,Organic
Video,927252,967641,1667385,59532,3502,2918,350,234,215,34158,465,42873,29,31131,171310,0,134492,0,24077,0,624700,0,41576,302552,17956,Facebook,Organic
Link,215949,214948,354894,2988,729,534,178,17,1371,1644,NA,1,9,0,52,0,38,0,34,0,141209,0,2228,74740,760,Facebook,Organic
Video,20603387,3356872,40541403,1264781,84672,72336,7740,4596,379,139823,1646,1531772,1275,11644,409839,6428199,275508,3772730,250079,3392094,1510980,628835,160537,19092407,1104244,Facebook,Paid
Link,3732676,3781720,6312717,176204,14286,12369,1717,200,147135,56686,3,2,365,0,8,0,5,0,4,0,3551169,0,170768,181507,5436,Facebook,Organic
Link,291260,287296,485161,4734,850,599,225,26,2198,2475,NA,4,13,0,364,0,314,0,265,0,214647,0,4082,76613,652,Facebook,Organic
Video,3878905,3902126,6544856,387397,17375,14988,1604,783,851,310700,2241,270306,325,12045,865746,1,743906,1,624615,1,3451451,0,354901,427454,32496,Facebook,Organic
Link,1893719,1878490,3097738,37901,21453,20592,382,479,4714,19182,370,282,225,0,198,0,159,0,33,0,1742193,0,35550,151526,2351,Facebook,Organic
Video,1325939,1330956,2458595,93407,4294,3361,467,466,198,65569,476,52996,58,40473,285338,0,228393,0,43467,0,853482,0,60862,472457,32545,Facebook,Organic
Link,140509,140742,249803,1372,435,364,64,7,333,828,2,NA,3,0,0,0,0,0,0,0,110564,0,1311,29945,61,Facebook,Organic
Link,2945050,2906198,4559006,52780,11339,10745,308,286,10411,41746,551,672,305,0,4,0,3,0,2,0,2863688,0,51454,81362,1326,Facebook,Organic
Photo,1018902,1022229,1644746,255499,7712,7241,388,83,42,73471,302589,4,61,0,0,0,0,0,0,0,992986,0,247613,25916,7886,Facebook,Organic
Photo,249791,250621,440984,42336,3198,2603,551,44,29,7047,50533,1,10,0,0,0,0,0,0,0,222835,0,35816,26956,6520,Facebook,Organic
